,recursive_state,rtt,area,population_2019,gdp_2018,employment,employment_per_1000
0,AK,98.63733928571428,93.2221080900402,96.399003829483,95.58074531409872,93.48545991056243,97.03533219653909
1,AL,60.94376863581997,72.28509838467994,56.228668355016886,56.83612751172497,57.45708237922574,59.623680678429295
2,AR,52.42439822444143,59.44618817050183,49.36447100121165,49.83233813305696,50.214425961597684,51.87116889584482
3,AZ,51.4628071940818,51.81052231577864,49.06211194368587,49.05231203304384,48.48769248041264,50.884553141413214
4,CA,58.41233725893013,56.02889552418502,54.870760476191904,54.34541458094558,53.20633877052002,57.76694898612244
5,CO,41.85522288677735,44.942061341130085,40.04168903926682,40.12233590306014,39.90939110648214,40.998990182031704
6,CT,53.3777542052246,66.33265627688061,50.10465494907334,49.953160911241355,50.383838289589285,51.19927150534924
7,DC,38.56199769008404,55.23443723157851,34.42767111818508,34.35956056050666,34.946239770107645,35.9665036196529
8,DE,57.103553455086214,68.56094865974745,53.50899556203436,53.7655320487695,54.13803307767847,55.366412264012624
9,FL,53.119640934039914,65.54131603026597,48.17415280111113,48.721083949151236,49.42244665215782,51.574683674945625
10,GA,52.466198294222195,64.58137461513387,47.98433940632258,48.363912608602696,48.93030251405549,50.86346899712579
11,HI,73.32094416746293,74.24470565916155,70.98638937652585,70.92752630753355,70.22901661963893,72.92374446602665
12,IA,53.501112008937945,60.105150317995054,51.078290755880005,51.37184192635242,51.44206123762488,52.65261025387076
13,ID,56.8796082554999,53.82931646794177,55.91014246664381,55.723235510818526,54.54882502655084,55.802388598717876
14,IL,44.3216729270584,52.89291857450582,41.31812689617432,41.55123823852387,41.65738293693088,42.793906156821066
15,IN,47.38638936424054,55.99385978007553,44.6668990145365,44.90908849099934,45.099128768495575,45.97876240792722
16,KS,61.49947729537277,66.95064008657042,57.73977330593245,58.154461709318696,58.41786815305412,61.02057504040506
17,KY,46.64783438897183,55.63514553652536,43.748337919948874,44.00433967810174,44.27234745382938,45.356270072867964
18,LA,79.36355765212002,90.04913535340552,74.02887612762046,74.54039882987107,75.92696389786877,78.83807890241084
19,MA,46.728799223619944,63.11238964704511,43.58941644742488,43.246876714005396,43.59682658823925,43.48558119694371
20,MD,40.296032113938416,55.76954099482213,36.23304214366531,36.270995285005064,36.79414998165377,37.631717207992985
21,ME,76.15377766067114,91.7453817824251,72.57759650369537,72.58210573375192,72.98745986017377,73.40524818279334
22,MI,44.50284107142255,53.78611726449507,42.193496990039925,42.33481088414182,42.537351454437314,42.97510438034012
23,MN,51.494689271030666,55.618845723592294,49.604100498962936,49.70410902779975,49.54167357921744,50.62404514930846
24,MO,51.213230016009256,57.65809277171364,48.30783297713032,48.62818825509875,48.785532441977686,50.48093957547008
25,MS,69.8715646407686,78.18103627584908,65.8772825831292,66.28552841418397,66.80645585470513,69.01226120717104
26,MT,71.92903626465171,72.21575913197886,70.46952030063652,70.38519400745348,69.42867216606422,70.58794254876572
27,NC,49.7223151958976,62.140006671974014,45.37225415951534,45.73375491790186,46.31984384820191,47.849795398249306
28,ND,61.030169057185496,64.90421671878737,57.90451382746518,57.794260075263296,57.198556074834734,59.40086885939667
29,NE,57.270032300422955,62.84203730752939,55.050351553684436,55.20575775093233,55.328209550642704,56.43544870036725
30,NH,44.99598906512747,60.730211236822576,41.88052434178693,41.51761384899476,41.762218112197296,41.593161128845416
31,NJ,37.01197624807743,49.07213465805253,34.155488703626844,33.97865803195821,34.16368384930471,34.44604217474907
32,NM,62.2792466848851,62.20721948287638,60.84403821230503,60.66367909525013,60.339746449004096,62.62765613701063
33,NV,52.865626436611635,51.06063807024722,50.63547372714774,50.4538735533614,49.40486947691032,52.48111439436338
34,NY,38.18274409672551,53.0113973109327,34.76072762638665,34.611095543602694,34.981213999845274,35.34350717749712
35,OH,47.59320420628362,56.555483941042866,44.83327797586474,44.82479616350103,44.8116595105884,45.97949908985961
36,OK,61.41447979361075,68.15371702120345,57.15225347213222,57.63112166017606,58.101655644712416,60.94503552805552
37,OR,61.27213343047012,53.83360701770825,60.11378674685603,59.50541206997144,57.695911453102084,59.98562687399042
38,PA,49.037974116624035,62.33503855462587,45.582296415054394,45.464405733662424,45.774460983023594,46.384383103259935
39,SC,43.50451528523636,54.72069467161406,39.0635856393084,39.34220652113911,39.89194633829331,41.96701078399888
40,SD,58.647935858001645,66.05044202980075,57.11539281128866,57.36100788032731,57.50823899494561,57.58993094209179
41,TN,62.52559276672578,74.90963134357627,57.88262877275502,58.4630528612351,59.326660139158975,61.21096667425592
42,TX,46.2839104670069,52.55632350634008,42.171972396355784,42.543934018202016,42.988675722287425,45.82907836624912
43,UT,60.36492588716108,59.38444817896406,59.08084647499159,58.9475286088224,58.421444603731544,59.973661017998374
44,VA,38.35903078137741,53.2446685126157,34.409429189164115,34.48358720342658,34.8568159210469,35.68269794681988
45,VT,53.91826902712515,66.46696651714251,52.375243452293816,52.07068956551308,52.27164585780417,51.559530428553586
46,WA,70.62709361401177,63.973012114815134,69.15987611692077,68.63571988064521,66.77388514970764,69.22804200246507
47,WI,45.400264289776416,54.191232546275955,42.878493360670255,43.08569811067962,43.21582801890034,44.115158515738365
48,WV,40.29008344834989,52.34467882195254,37.240262226381475,37.24718027712152,37.501527808619926,38.43879390280395
49,WY,35.454227862435,51.85953596645677,31.1814194023467,30.87067538316534,31.078726448456518,32.083093186730636
